nr_rejestracyjny	marka	rok_produkcji	id_wlasciciela
SH 7995	mercedes	2010	790
PWL 5352	daewoo	2011	294
SL 9574	peugeot	2014	358
SY 7226	seat	2016	845
SI 2977	skoda	2015	118
SPI 7583	ford	2023	455
ST 8603	mercedes	2019	247
SY 3472	seat	2022	629
ZBI 3285	lancia	2015	120
PSZ 7564	renault	2022	415
SI 4599	ford	2018	656
SGL 1689	peugeot	2016	684
SY 4064	skoda	2016	327
SB 7357	skoda	2018	284
SPI 4036	skoda	2020	647
SG 1370	daewoo	2019	305
SBE 6324	volkswagen	2012	117
RST 4853	opel	2015	316
SZA 2577	renault	2023	673
SZA 2450	fiat	2022	238
GSZ 5735	ford	2018	713
SGL 2842	ford	2009	869
DWR 6536	skoda	2014	688
SG 5847	renault	2020	286
SK 3759	skoda	2017	810
SD 2125	ford	2011	675
SK 5840	fiat	2018	810
SL 2989	chrysler	2021	484
GCH 3880	toyota	2013	31
SRC 5851	opel	2011	344
SW 8489	skoda	2012	510
SK 3263	citroen	2011	804
KSU 5314	ford	2021	826
PCH 9580	skoda	2012	575
TBU 8874	fiat	2019	833
SGL 9960	toyota	2017	165
SR 8198	fiat	2022	696
CBR 2803	ford	2023	221
SR 6700	skoda	2012	883
SZA 7200	daewoo	2011	50
SBE 1747	skoda	2015	820
SPI 4770	toyota	2015	480
SI 1742	seat	2022	297
SRC 5624	mercedes	2015	9
SI 8807	citroen	2023	827
GTC 7687	opel	2021	359
WWE 8874	lancia	2011	617
SGL 9307	audi	2023	788
SB 6087	volvo	2022	159
SZA 8983	opel	2013	124
SY 7644	chrysler	2014	256
CBR 1153	citroen	2009	618
SI 3342	renault	2021	847
SK 1444	seat	2010	728
SY 3405	renault	2021	67
EBR 7357	daewoo	2009	425
SK 5169	skoda	2022	689
WCI 5070	fiat	2012	794
SJ 4063	opel	2019	895
SR 4602	mazda	2020	882
SY 5769	skoda	2018	730
SB 1135	skoda	2010	724
SK 5443	ford	2022	744
ZSZ 3444	skoda	2014	5
SGL 1221	mercedes	2010	566
SBE 6587	fiat	2020	694
SBE 6223	opel	2023	854
DBL 6978	renault	2017	69
SH 2658	ford	2014	838
SH 4956	ford	2022	470
SH 1854	opel	2014	505
SI 8596	renault	2015	835
FSL 9112	chrysler	2011	276
WY 9626	skoda	2010	306
SBE 4461	ford	2017	217
SB 8193	skoda	2022	814
ST 9776	skoda	2014	634
SL 7067	daewoo	2018	427
SK 6705	toyota	2015	78
GST 3312	bmw	2014	438
SO 3349	peugeot	2021	549
FZA 8731	volkswagen	2011	759
SBE 9531	honda	2013	840
KBC 4853	renault	2012	143
SBE 2297	renault	2011	840
SZ 7094	fiat	2023	857
SD 8508	fiat	2021	383
SK 6312	toyota	2011	755
SL 5094	opel	2022	277
SB 5317	citroen	2014	386
SH 2101	mercedes	2014	765
SD 5074	fiat	2010	683
SBI 6846	toyota	2018	85
RBR 1043	mercedes	2012	198
SZA 9650	nissan	2020	862
SK 1596	fiat	2020	864
SBE 1697	peugeot	2023	700
SR 8980	renault	2022	679
SD 9868	saab	2016	181
ST 9029	volvo	2022	226
SL 1900	citroen	2019	900
SI 8773	renault	2011	453
TST 3045	mazda	2019	10
WN 7869	toyota	2018	829
SI 2042	skoda	2013	768
SZA 2357	mazda	2011	146
SY 5937	opel	2010	612
SJ 9837	honda	2014	671
SBE 9043	chrysler	2018	762
SB 1864	peugeot	2018	68
SL 1660	opel	2022	678
SH 3088	ford	2015	199
SY 5012	ford	2012	850
SRC 7490	seat	2009	47
SH 8575	ford	2014	137
SI 7408	renault	2023	249
BSU 2537	daewoo	2016	381
KSU 2323	daewoo	2018	828
SL 5004	renault	2020	842
SBI 8390	saab	2012	83
SZ 6348	chrysler	2020	615
SGL 4225	skoda	2015	525
SZA 4168	fiat	2020	862
SGL 9821	skoda	2016	627
WXY 2013	skoda	2022	95
SGL 7345	opel	2015	776
SK 4178	ford	2011	162
SL 3704	saab	2022	515
SZA 5566	skoda	2011	348
SK 5997	toyota	2018	500
RDE 9051	fiat	2015	571
SB 8538	skoda	2019	772
SPI 3563	citroen	2012	216
SK 3281	ford	2023	498
SH 7008	skoda	2010	63
ST 1914	fiat	2017	604
SI 9311	fiat	2012	872
SGL 5827	skoda	2009	509
SB 1043	toyota	2020	324
RTA 5103	opel	2016	310
SPI 5202	ford	2015	811
SY 4035	bmw	2021	740
SH 5538	lancia	2015	17
SY 2137	lancia	2013	587
WWV 4869	ford	2017	754
SBI 5776	fiat	2016	703
SG 8527	fiat	2010	298
WE 8980	skoda	2018	536
SY 4526	opel	2010	563
SY 3880	fiat	2010	406
SO 3905	ford	2014	734
SJZ 6852	volvo	2023	270
SGL 2098	ford	2022	399
SD 4205	peugeot	2014	407
OST 9222	ford	2015	528
SH 9902	renault	2020	792
SBI 3892	skoda	2018	330
SY 7961	fiat	2010	714
SY 6106	daewoo	2011	373
SI 7460	toyota	2021	144
SRC 4672	renault	2009	785
SG 6247	ford	2012	366
FZG 1007	volvo	2014	600
SZA 4262	opel	2012	862
SR 7444	daewoo	2012	882
SH 7354	toyota	2011	309
SW 6193	skoda	2013	58
SBE 2443	peugeot	2018	203
SO 9580	fiat	2021	304
SD 9649	opel	2017	435
SB 5865	saab	2017	669
SR 6899	fiat	2015	332
SH 5202	renault	2023	586
SBE 1121	fiat	2023	443
NBR 6939	fiat	2017	574
SJZ 6608	skoda	2011	341
SB 2443	skoda	2021	163
WZ 6766	toyota	2021	141
FSD 8580	opel	2017	215
ZST 7917	kia	2023	516
SW 7597	citroen	2021	254
SY 4717	skoda	2016	860
SY 9894	renault	2015	733
SGL 9569	opel	2019	564
SO 7354	fiat	2017	338
SB 7223	renault	2022	342
SY 2549	opel	2023	239
SB 4033	renault	2012	105
SI 5491	ford	2020	41
WWH 1007	renault	2016	892
ST 7252	opel	2015	896
SW 4614	ford	2018	495
SR 2828	saab	2014	343
SY 6510	volvo	2020	817
SG 4055	lancia	2013	393
SR 3611	skoda	2016	889
SH 9338	skoda	2012	886
SJZ 2771	peugeot	2012	7
EBE 6346	saab	2016	425
SGL 6077	opel	2010	325
SZA 3472	mazda	2013	803
SK 2212	toyota	2023	60
SG 9474	opel	2009	486
SY 6975	ford	2014	593
SK 1773	audi	2017	98
OB 9304	daewoo	2017	371
SY 1192	chrysler	2015	322
SJ 7317	saab	2023	844
NWE 7868	ford	2010	712
SG 5795	renault	2023	501
SZ 7701	skoda	2013	506
EWI 3635	chrysler	2013	709
SH 5170	lancia	2014	886
SY 1720	chrysler	2016	227
SB 9850	opel	2016	440
SR 1450	daewoo	2022	565
SZA 5014	fiat	2018	805
CTU 3058	fiat	2023	175
SR 3405	opel	2009	692
SR 5050	peugeot	2015	479
SL 4154	fiat	2021	274
SD 9707	skoda	2014	789
ST 2662	fiat	2010	717
WWL 6690	renault	2009	537
SH 2179	skoda	2012	886
SH 5223	skoda	2022	245
SR 9245	ford	2022	187
KDA 6360	ford	2021	623
GBY 1665	opel	2016	568
SW 1487	skoda	2012	153
SW 2265	peugeot	2019	242
SPI 6199	ford	2010	307
SH 9124	audi	2017	899
ST 9519	mazda	2011	64
ST 9249	skoda	2023	400
SBI 3620	skoda	2022	797
SZ 2332	chrysler	2010	145
RSR 5037	seat	2019	252
SR 3000	peugeot	2009	20
SK 5404	skoda	2022	622
SR 7430	daewoo	2023	658
SK 5948	fiat	2020	475
SG 4064	skoda	2012	806
TSZ 6720	mercedes	2016	535
SZA 7097	renault	2022	504
SI 8810	ford	2009	94
SW 2245	peugeot	2020	104
SBE 6899	skoda	2016	655
SI 1484	skoda	2013	191
SH 3233	lancia	2017	243
SY 2732	toyota	2015	648
SK 5608	ford	2022	800
CSW 2126	skoda	2022	417
SZ 3758	honda	2012	857
SW 9638	opel	2016	807
SBE 8570	fiat	2021	687
SL 5577	saab	2023	572
ST 4811	fiat	2015	493
SB 1119	skoda	2017	698
KTT 6795	renault	2009	173
WWW 9374	renault	2011	526
SR 5896	fiat	2014	635
SY 7023	opel	2020	97
SG 8580	ford	2009	405
SR 9088	toyota	2010	695
SY 4507	skoda	2010	743
CTR 2160	fiat	2023	190
SZ 6941	skoda	2019	100
CW 9374	fiat	2021	66
SK 3635	renault	2010	804
FSD 7579	skoda	2019	244
DSR 8282	fiat	2012	188
SBI 8914	daewoo	2012	264
SY 7019	ford	2017	394
SY 3168	opel	2015	3
SRC 6881	skoda	2018	57
SO 1304	mercedes	2022	682
ST 7545	toyota	2009	390
SW 9785	ford	2014	851
SH 8780	ford	2011	541
SL 9799	mercedes	2011	93
SI 9222	peugeot	2020	473
SO 2658	skoda	2021	112
SZA 8641	skoda	2014	262
SH 6897	ford	2023	119
ST 5885	opel	2018	107
SH 8523	renault	2013	345
SZA 5662	ford	2013	404
SD 3934	volvo	2014	90
ST 6946	saab	2009	749
SJ 8980	seat	2023	485
SK 5971	peugeot	2021	471
SB 2237	bmw	2022	544
SGL 4297	opel	2010	202
SK 7813	ford	2012	49
ST 6291	skoda	2021	360
SY 2779	fiat	2009	557
SY 2297	peugeot	2013	538
SG 2362	daewoo	2020	706
DSW 2462	volvo	2009	881
DST 3000	daewoo	2011	533
SH 3549	kia	2013	186
KBR 8269	skoda	2017	290
SO 9368	ford	2021	894
KWI 7701	skoda	2018	543
SO 7762	mercedes	2011	115
DTR 9859	fiat	2023	834
SGL 7757	toyota	2023	398
SGL 6026	ford	2014	46
PSR 2298	peugeot	2017	16
SL 9267	ford	2023	690
