Data	Godzina	Zrodla_wiatrowe	Zrodla_fotowoltaiczne
2024-04-06	2	6134,513	0,000
2024-04-06	3	5890,100	0,000
2024-04-06	4	5587,525	0,000
2024-04-06	5	5163,900	0,000
2024-04-06	6	5173,388	10,950
2024-04-06	7	5060,563	302,375
2024-04-06	8	4595,588	1375,088
2024-04-06	9	4078,088	3297,138
2024-04-06	10	3480,388	5189,438
2024-04-06	11	3477,213	6562,763
2024-04-06	12	3550,938	8038,300
2024-04-06	13	3686,000	8002,638
2024-04-06	14	3637,750	7691,738
2024-04-06	15	3250,613	7518,450
2024-04-06	16	2574,238	6545,438
2024-04-06	17	1815,100	5289,750
2024-04-06	18	1170,763	3107,463
2024-04-06	19	628,338	1035,138
2024-04-06	20	510,488	152,863
2024-04-06	21	640,725	0,000
2024-04-06	22	841,475	0,000
2024-04-06	23	1385,200	0,000
2024-04-06	24	2037,313	0,000
2024-04-07	1	2619,763	0,000
2024-04-07	2	3091,013	0,000
2024-04-07	3	3662,388	0,000
2024-04-07	4	4079,425	0,000
2024-04-07	5	4390,850	0,000
2024-04-07	6	4557,613	6,788
2024-04-07	7	4803,350	327,400
2024-04-07	8	4993,188	1778,938
2024-04-07	9	4525,813	3994,525
2024-04-07	10	3707,188	5784,488
2024-04-07	11	3536,363	7371,838
2024-04-07	12	3839,425	7463,975
2024-04-07	13	4186,200	7302,500
2024-04-07	14	3318,250	7102,750
2024-04-07	15	2636,888	6636,600
2024-04-07	16	2253,700	5685,688
2024-04-07	17	1804,350	5050,850
2024-04-07	18	1486,475	3331,963
2024-04-07	19	1384,000	1437,300
2024-04-07	20	1703,150	184,925
2024-04-07	21	2095,325	0,000
2024-04-07	22	2056,438	0,000
2024-04-07	23	2193,175	0,000
2024-04-07	24	2213,663	0,000
2024-04-08	1	2449,738	0,000
2024-04-08	2	2901,488	0,000
2024-04-08	3	3262,350	0,000
2024-04-08	4	3337,750	0,000
2024-04-08	5	3526,950	0,000
2024-04-08	6	3359,088	5,450
2024-04-08	7	3238,238	252,850
2024-04-08	8	2777,213	1385,525
2024-04-08	9	2223,138	3341,925
2024-04-08	10	1588,538	5432,875
2024-04-08	11	915,988	7068,713
2024-04-08	12	832,625	8205,900
2024-04-08	13	892,850	8629,975
2024-04-08	14	870,738	8919,888
2024-04-08	15	959,050	8460,663
2024-04-08	16	1044,413	7095,725
2024-04-08	17	1297,075	5410,875
2024-04-08	18	1413,063	3017,863
2024-04-08	19	1538,725	1106,213
2024-04-08	20	1852,038	256,013
2024-04-08	21	2617,725	0,000
2024-04-08	22	3282,900	0,000
2024-04-08	23	3672,300	0,000
2024-04-08	24	3816,875	0,000
2024-04-09	1	3853,125	0,000
2024-04-09	2	3738,325	0,000
2024-04-09	3	3232,575	0,000
2024-04-09	4	2819,763	0,000
2024-04-09	5	2528,313	0,000
2024-04-09	6	2277,613	49,713
2024-04-09	7	1961,788	451,450
2024-04-09	8	1698,275	1940,575
2024-04-09	9	1245,100	4466,875
2024-04-09	10	799,863	7182,975
2024-04-09	11	671,000	8564,725
2024-04-09	12	777,700	9683,575
2024-04-09	13	1114,325	10529,963
2024-04-09	14	1516,713	10167,013
2024-04-09	15	1790,725	9447,025
2024-04-09	16	2123,250	8104,013
2024-04-09	17	2324,563	5836,475
2024-04-09	18	2379,550	3212,988
2024-04-09	19	2677,450	1144,950
2024-04-09	20	3303,875	249,013
2024-04-09	21	4048,463	0,000
2024-04-09	22	4693,838	0,000
2024-04-09	23	5564,800	0,000
2024-04-09	24	5323,725	0,000
2024-04-10	1	4951,875	0,000
2024-04-10	2	4908,413	0,000
2024-04-10	3	4634,950	0,000
2024-04-10	4	4623,113	0,000
2024-04-10	5	4552,638	0,000
2024-04-10	6	4404,450	51,438
2024-04-10	7	4126,788	383,100
2024-04-10	8	4069,150	1176,413
2024-04-10	9	3913,025	2085,150
2024-04-10	10	3838,675	2938,338
2024-04-10	11	4091,863	4072,788
2024-04-10	12	4197,125	4948,700
2024-04-10	13	4160,150	5479,725
2024-04-10	14	3900,950	5619,000
2024-04-10	15	3837,425	5315,425
2024-04-10	16	3739,063	4515,638
2024-04-10	17	3906,175	3256,588
2024-04-10	18	3960,763	1974,613
2024-04-10	19	3623,425	886,150
2024-04-10	20	3358,000	246,688
2024-04-10	21	2812,463	0,000
2024-04-10	22	2481,488	0,000
2024-04-10	23	2211,875	0,000
2024-04-10	24	1934,450	0,000
2024-04-11	1	1638,913	0
2024-04-11	2	1527,213	0
2024-04-11	3	1750,738	0
2024-04-11	4	1987,775	0
2024-04-11	5	2160,15	0
2024-04-11	6	2402,913	88,175
2024-04-11	7	2549,588	582,45
2024-04-11	8	2267,688	2271,6
2024-04-11	9	1581,6	5042,775
2024-04-11	10	1755,35	7490,913
2024-04-11	11	2822,663	9037,775
2024-04-11	12	3507,388	9569,288
2024-04-11	13	3629,288	8547,525
2024-04-11	14	3533,575	8090,6
2024-04-11	15	3454,413	7545,575
2024-04-11	16	3591,613	6990,225
2024-04-11	17	3269,375	5827,963
2024-04-11	18	2779,725	3712,325
2024-04-11	19	2522,763	1590,8
2024-04-11	20	2597,725	252,313
2024-04-11	21	2912,288	0
2024-04-11	22	2870,375	0
2024-04-11	23	2862,613	0
2024-04-11	24	3080,863	0
2024-04-12	1	3101,038	0
2024-04-12	2	3173,838	0
2024-04-12	3	3074,85	0
2024-04-12	4	2967,7	0
2024-04-12	5	2681,775	0
2024-04-12	6	2472,538	6,7
2024-04-12	7	2407,938	319,188
2024-04-12	8	2295,838	1527,6
2024-04-12	9	1778,85	3144,538
2024-04-12	10	1540,313	4851,713
2024-04-12	11	1619,088	6000,088
2024-04-12	12	2047,963	6624,1
2024-04-12	13	2346,55	7019,013
2024-04-12	14	2456,475	7136,65
2024-04-12	15	2641,05	6773,813
2024-04-12	16	2535,7	6178,175
2024-04-12	17	2506,425	4660,638
2024-04-12	18	2113,763	2813,188
2024-04-12	19	1639,45	1075,488
2024-04-12	20	1887,063	273,913
2024-04-12	21	2483,013	0
2024-04-12	22	3017,25	0
2024-04-12	23	3583,213	0
2024-04-12	24	4276,1	0
2024-04-13	1	4388,313	0
2024-04-13	2	4199,513	0
2024-04-13	3	4164,538	0
2024-04-13	4	3954,775	0
2024-04-13	5	3833,325	0
2024-04-13	6	3715,175	45,475
2024-04-13	7	3703,163	473,513
2024-04-13	8	3279,1	1814,3
2024-04-13	9	3139,8	3936,675
2024-04-13	10	3365,225	5956,613
2024-04-13	11	3626,238	7713,038
2024-04-13	12	3878,963	8376,763
2024-04-13	13	4186,288	8718,6
2024-04-13	14	4575,263	9145,288
2024-04-13	15	4728,138	8144,075
2024-04-13	16	4374,788	6291,475
2024-04-13	17	3919,325	4863,938
2024-04-13	18	3067,688	3051,088
2024-04-13	19	1823	1224,525
2024-04-13	20	1388,188	241,863
2024-04-13	21	1684,8	0
2024-04-13	22	2293,138	0
2024-04-13	23	3020,613	0
2024-04-13	24	3427,6	0
2024-04-14	1	3845,363	0
2024-04-14	2	4625,775	0
2024-04-14	3	5458,913	0
2024-04-14	4	5633,763	0
2024-04-14	5	5972,5	0
2024-04-14	6	6276	22,763
2024-04-14	7	6597,65	393,1
2024-04-14	8	6402,85	1521,95
2024-04-14	9	6034,713	2818,113
2024-04-14	10	6372,425	3986,95
2024-04-14	11	6298,838	5170,5
2024-04-14	12	6509,438	5239,9
2024-04-14	13	6538,3	5970
2024-04-14	14	6541,338	6004,338
2024-04-14	15	6461,2	5506,875
2024-04-14	16	6375,213	5212,863
2024-04-14	17	6976,738	4309,463
2024-04-14	18	6850,188	2943,1
2024-04-14	19	6512,713	1639,95
2024-04-14	20	5602,85	401,438
2024-04-14	21	5012,575	0
2024-04-14	22	4847,388	0
2024-04-14	23	4398,375	0
2024-04-14	24	3962,788	0
2024-04-15	1	3412,875	0
2024-04-15	2	2599,925	0
2024-04-15	3	2349,863	0
2024-04-15	4	2203,088	0
2024-04-15	5	2138,925	0
2024-04-15	6	2209,088	41,738
2024-04-15	7	2132,963	265,213
2024-04-15	8	1704,163	872,425
2024-04-15	9	1390	2106,913
2024-04-15	10	1246,65	4120,888
2024-04-15	11	1263,113	5402,05
2024-04-15	12	1257,013	6184,788
2024-04-15	13	1076,15	6366,538
2024-04-15	14	842,325	5958,988
2024-04-15	15	685,6	5267,638
2024-04-15	16	696,325	4558,425
2024-04-15	17	668,738	3536,113
2024-04-15	18	613,688	2229,513
2024-04-15	19	666,213	1019,625
2024-04-15	20	1073,825	275,1
2024-04-15	21	1802,775	16,9
2024-04-15	22	2176,738	0
2024-04-15	23	2737,838	0
2024-04-15	24	2771,35	0
2024-04-16	1	3206,038	0
2024-04-16	2	3041,575	0
2024-04-16	3	3059,288	0
2024-04-16	4	3767,3	0
2024-04-16	5	4547,463	0
2024-04-16	6	4833,85	54,275
2024-04-16	7	5403,175	325,813
2024-04-16	8	5836,025	1107,075
2024-04-16	9	6202,063	2157,113
2024-04-16	10	6557,213	3077,663
2024-04-16	11	6800,763	4139,2
2024-04-16	12	6714,5	4771,888
2024-04-16	13	6545,438	5342,275
2024-04-16	14	6455,575	5622,838
2024-04-16	15	6052,425	5443,763
2024-04-16	16	5514,325	4813,013
2024-04-16	17	4683,638	3809,988
2024-04-16	18	4193,025	2631,188
2024-04-16	19	3605,6	1189,275
2024-04-16	20	3165,813	346,088
2024-04-16	21	3181,363	30,325
2024-04-16	22	3564,013	0
2024-04-16	23	3475,425	0
2024-04-16	24	3159,638	0
2024-04-17	1	2878,875	0
2024-04-17	2	2527,975	0
2024-04-17	3	2261,4	0
2024-04-17	4	2010,65	0
2024-04-17	5	2118,925	0
2024-04-17	6	1950,775	93,263
2024-04-17	7	1878,15	431,625
2024-04-17	8	1701,65	1212,638
2024-04-17	9	1884	2365,538
2024-04-17	10	1902,763	3505,513
2024-04-17	11	1701,713	4333,4
2024-04-17	12	1613,3	4681,125
2024-04-17	13	1565,875	4732,463
2024-04-17	14	1509,5	4975,925
2024-04-17	15	1533,288	4614,113
2024-04-17	16	1480,588	4263,013
2024-04-17	17	1392,4	3740,45
2024-04-17	18	1282,713	2461,45
2024-04-17	19	1154,888	1051,238
2024-04-17	20	1046,013	227,425
2024-04-17	21	924,463	5,525
2024-04-17	22	838,05	0
2024-04-17	23	799,638	0
2024-04-17	24	796,388	0
2024-04-18	1	832,663	0
2024-04-18	2	983,563	0
2024-04-18	3	1133,988	0
2024-04-18	4	1195,9	0
2024-04-18	5	1108,713	0
2024-04-18	6	1068,525	23,388
2024-04-18	7	1048,038	454,05
2024-04-18	8	944,563	1750,738
2024-04-18	9	970,763	3414,125
2024-04-18	10	1167,275	4769,388
2024-04-18	11	1420,288	5606,738
2024-04-18	12	1610,763	6108
2024-04-18	13	1773,963	6099,863
2024-04-18	14	2041,938	5979,213
2024-04-18	15	2218,8	6035,738
2024-04-18	16	2332,325	5759,788
2024-04-18	17	2170,675	4938,213
2024-04-18	18	1907,463	3262,375
2024-04-18	19	1663,975	1365,9
2024-04-18	20	1374,063	343,588
2024-04-18	21	1570,688	9,775
2024-04-18	22	1720,013	0
2024-04-18	23	1954,838	0
2024-04-18	24	2022,188	0
2024-04-19	1	2147,4	0
2024-04-19	2	2305,2	0
2024-04-19	3	2501,963	0
2024-04-19	4	2833,625	0
2024-04-19	5	2877,963	0
2024-04-19	6	2784,988	132,125
2024-04-19	7	2484,525	723,763
2024-04-19	8	2028,238	2284,425
2024-04-19	9	1521,088	4433,275
2024-04-19	10	1461,313	6028,038
2024-04-19	11	1696,35	6467,688
2024-04-19	12	1765,338	6435,563
2024-04-19	13	1944,213	6565,613
2024-04-19	14	1947,65	6601,038
2024-04-19	15	1829,925	5915,05
2024-04-19	16	1870,138	4890,975
2024-04-19	17	1758,125	3690,013
2024-04-19	18	1628,638	2319,663
2024-04-19	19	1580,475	1186,9
2024-04-19	20	1403,188	457,763
2024-04-19	21	1497,725	12,788
2024-04-19	22	1671,663	0
2024-04-19	23	1720,963	0
2024-04-19	24	1723,9	0
2024-04-20	1	1948,213	0
2024-04-20	2	2266,563	0
2024-04-20	3	2522,813	0
2024-04-20	4	2655,888	0
2024-04-20	5	2681,55	0
2024-04-20	6	2601,275	260,225
2024-04-20	7	2638,575	681,013
2024-04-20	8	2693,738	1367,725
2024-04-20	9	2936,288	2244,988
2024-04-20	10	3229,188	3289,05
2024-04-20	11	3333,275	3780,8
2024-04-20	12	3592,125	4266,538
2024-04-20	13	3842,413	4328,038
2024-04-20	14	3900,338	4282,625
2024-04-20	15	3871,488	3939,6
2024-04-20	16	3587,188	3408,838
2024-04-20	17	3293,013	2702,475
2024-04-20	18	2748,388	1841,338
2024-04-20	19	2197,925	893,513
2024-04-20	20	1794,813	211,275
2024-04-20	21	1357,075	6,088
2024-04-20	22	1288,213	0
2024-04-20	23	1273,363	0
2024-04-20	24	1262,525	0
2024-04-21	1	1398,838	0
2024-04-21	2	1532,725	0
2024-04-21	3	1704,188	0
2024-04-21	4	1849,1	0
2024-04-21	5	1937,375	0
2024-04-21	6	2067,263	38,7
2024-04-21	7	2184,838	474,45
2024-04-21	8	1934,588	1766,188
2024-04-21	9	1946,113	3378,413
2024-04-21	10	2419,838	4721,963
2024-04-21	11	2898,95	5160,463
2024-04-21	12	3274,163	5038,263
2024-04-21	13	3595,838	4713,788
2024-04-21	14	3973,15	4531,925
2024-04-21	15	4240,525	4170,35
2024-04-21	16	4450,588	3515,063
2024-04-21	17	4511,963	2743,988
2024-04-21	18	4392,363	1887,788
2024-04-21	19	4057,688	909,85
2024-04-21	20	3567,875	212,288
2024-04-21	21	3013,438	6,1
2024-04-21	22	2788,813	0
2024-04-21	23	2913,088	0
2024-04-21	24	2756,2	0
2024-04-22	1	2444,663	0
2024-04-22	2	2285,688	0
2024-04-22	3	2196,663	0
2024-04-22	4	2105,138	0
2024-04-22	5	2107,925	0
2024-04-22	6	2172,938	56,025
2024-04-22	7	2164,113	442,788
2024-04-22	8	2141	1446,9
2024-04-22	9	2122,288	2735,588
2024-04-22	10	2205,788	3847,463
2024-04-22	11	2236,813	4368,138
2024-04-22	12	2309,55	4245,938
2024-04-22	13	2168,613	4059,038
2024-04-22	14	2051,375	3880,175
2024-04-22	15	1815,825	3558,113
2024-04-22	16	1594,138	3103,875
2024-04-22	17	1369,25	2497,613
2024-04-22	18	1099,725	1671,113
2024-04-22	19	862,263	807,275
2024-04-22	20	603,875	205,088
2024-04-22	21	531,213	38,025
2024-04-22	22	493,913	0
2024-04-22	23	434,975	0
2024-04-22	24	443,738	0
2024-04-23	1	421,713	0
2024-04-23	2	421,413	0
2024-04-23	3	424,325	0
2024-04-23	4	475,825	0
2024-04-23	5	548,225	0
2024-04-23	6	646,763	66,75
2024-04-23	7	730,15	624,8
2024-04-23	8	611,513	2220,038
2024-04-23	9	560,813	4509,763
2024-04-23	10	604,075	6009,375
2024-04-23	11	771,813	6756,813
2024-04-23	12	884	6561,538
2024-04-23	13	869,463	6942,313
2024-04-23	14	865,213	7253,538
2024-04-23	15	796,05	7172,738
2024-04-23	16	676,75	6145,288
2024-04-23	17	512,625	4845,6
2024-04-23	18	417,5	3004,763
2024-04-23	19	377,325	1426,675
2024-04-23	20	552,588	450,125
2024-04-23	21	849,4	49,463
2024-04-23	22	1143,675	0
2024-04-23	23	1355,638	0
2024-04-23	24	1587,25	0
2024-04-24	1	1856,225	0
2024-04-24	2	2004,863	0
2024-04-24	3	1942,425	0
2024-04-24	4	1797,025	0
2024-04-24	5	1627,113	0
2024-04-24	6	1479,425	114,775
2024-04-24	7	1272,988	633,088
2024-04-24	8	820,938	1677,075
2024-04-24	9	444,613	2961,363
2024-04-24	10	346,075	4438,363
2024-04-24	11	400,25	5538,825
2024-04-24	12	468,875	5703,838
2024-04-24	13	546,438	5460,475
2024-04-24	14	667,363	5304,363
2024-04-24	15	822,863	4556,125
2024-04-24	16	922,45	3752,738
2024-04-24	17	1021,088	2874,725
2024-04-24	18	1162,538	1860,863
2024-04-24	19	1165,138	979,188
2024-04-24	20	1097,3	281
2024-04-24	21	1061,65	20,525
2024-04-24	22	1075,363	0
2024-04-24	23	1059,625	0
2024-04-24	24	943,013	0
2024-04-25	1	916,688	0
2024-04-25	2	812,213	0
2024-04-25	3	826,8	0
2024-04-25	4	789,55	0
2024-04-25	5	709,35	0
2024-04-25	6	649,675	70,738
2024-04-25	7	643,025	588,238
2024-04-25	8	498,138	1954,513
2024-04-25	9	327,488	3962,588
2024-04-25	10	334,213	5705,213
2024-04-25	11	454,288	6661,063
2024-04-25	12	566,375	7085,513
2024-04-25	13	840,113	7051,488
2024-04-25	14	1195,938	6787,825
2024-04-25	15	1197,925	6747,8
2024-04-25	16	1209,425	6309,638
2024-04-25	17	1406,488	4961,95
2024-04-25	18	1202,213	3556,375
2024-04-25	19	812,525	1637,338
2024-04-25	20	826,713	483,938
2024-04-25	21	986,925	43,338
2024-04-25	22	1386,2	0
2024-04-25	23	1638,1	0
2024-04-25	24	2046,35	0
2024-04-26	1	2263,875	0
2024-04-26	2	2458,625	0
2024-04-26	3	2301,075	0
2024-04-26	4	2109,338	0
2024-04-26	5	2023,55	0
2024-04-26	6	1784,975	161,975
2024-04-26	7	1567,675	1019,738
2024-04-26	8	964,163	3401,738
2024-04-26	9	340,325	6584,163
2024-04-26	10	347,588	9175,825
2024-04-26	11	794,975	10221,475
2024-04-26	12	1097,7	9122,925
2024-04-26	13	1180,238	8306,638
2024-04-26	14	1288,9	7050,75
2024-04-26	15	1493,075	6062,575
2024-04-26	16	1700,825	5928,65
2024-04-26	17	1787,45	4994,013
2024-04-26	18	1652,025	3616,875
2024-04-26	19	1363,95	1739,125
2024-04-26	20	1101,9	467,45
2024-04-26	21	1571,638	36,088
2024-04-26	22	2538,838	0
2024-04-26	23	3423,9	0
2024-04-26	24	3971,375	0
2024-04-27	1	4154,65	0
2024-04-27	2	4045,563	0
2024-04-27	3	3708,063	0
2024-04-27	4	3345,463	0
2024-04-27	5	3113,675	0
2024-04-27	6	2879,988	119,713
2024-04-27	7	2648,275	805,075
2024-04-27	8	1875,2	2531,363
2024-04-27	9	988,238	5034,775
2024-04-27	10	623,725	7472,6
2024-04-27	11	789,15	9395,888
2024-04-27	12	1219,313	9911,113
2024-04-27	13	1398,75	8829,775
2024-04-27	14	1283,063	7911,3
2024-04-27	15	1164,413	7714,4
2024-04-27	16	1047,363	7125,413
2024-04-27	17	1025,15	5647,45
2024-04-27	18	1086,488	4101,138
2024-04-27	19	1000,438	1819
2024-04-27	20	1175,338	490,838
2024-04-27	21	1868,438	29,363
2024-04-27	22	3060,3	0
2024-04-27	23	4255,9	0
2024-04-27	24	5003,425	0
2024-04-28	1	4937,638	0
2024-04-28	2	4861,213	0
2024-04-28	3	4697,563	0
2024-04-28	4	4528,913	0
2024-04-28	5	4417,838	0
2024-04-28	6	4356,125	168,475
2024-04-28	7	4266,163	1088,675
2024-04-28	8	3305,313	2829,788
2024-04-28	9	2211,113	4604,838
2024-04-28	10	2445,813	5843,438
2024-04-28	11	3334,025	6848,588
2024-04-28	12	3987,3	7276,5
2024-04-28	13	4037,15	7053,038
2024-04-28	14	3850,613	5970,6
2024-04-28	15	3850,938	5464,1
2024-04-28	16	3784,788	4990,8
2024-04-28	17	3922,8	4352,375
2024-04-28	18	3755,675	3567,15
2024-04-28	19	3201,738	2078,913
2024-04-28	20	2948,075	692,425
2024-04-28	21	3687,088	36,175
2024-04-28	22	4782,713	0
2024-04-28	23	5291,063	0
2024-04-28	24	5382,25	0
2024-04-29	1	5231,813	0
2024-04-29	2	5017,125	0
2024-04-29	3	4546,4	0
2024-04-29	4	4131,463	0
2024-04-29	5	3843,075	0,35
2024-04-29	6	3584,4	118,938
2024-04-29	7	3275,375	937,138
2024-04-29	8	2384,588	2822,638
2024-04-29	9	1347,375	5446,038
2024-04-29	10	1094,95	7641,975
2024-04-29	11	1180,338	9545,763
2024-04-29	12	1330,15	9180,538
2024-04-29	13	1515,025	8799,45
2024-04-29	14	1608,875	8568,475
2024-04-29	15	1706,5	7865,438
2024-04-29	16	1699,413	7673,038
2024-04-29	17	1678,763	6558,375
2024-04-29	18	1672,45	4528,463
2024-04-29	19	1669,963	2260,35
2024-04-29	20	1912,2	688,363
2024-04-29	21	2709,538	64,45
2024-04-29	22	3575,313	0
2024-04-29	23	4097,675	0
2024-04-29	24	4326,838	0
2024-04-30	1	4272,663	0
2024-04-30	2	4037	0
2024-04-30	3	3760,938	0
2024-04-30	4	3717,313	0
2024-04-30	5	3945,738	0,488
2024-04-30	6	4228,6	126,438
2024-04-30	7	4063,113	1112,85
2024-04-30	8	3116,538	3288,9
2024-04-30	9	1871,9	6150,063
2024-04-30	10	1349,938	8576,313
2024-04-30	11	1425,5	9089,513
2024-04-30	12	1697,863	8942,65
2024-04-30	13	1998,063	9074,263
2024-04-30	14	2532,55	9028,438
2024-04-30	15	2994,675	8596,263
2024-04-30	16	3244,65	7601,838
2024-04-30	17	3232,613	7113,863
2024-04-30	18	3254,475	5229,638
2024-04-30	19	3098,8	2741,8
2024-04-30	20	3200,613	806,363
2024-04-30	21	4075,263	65,525
2024-04-30	22	5190,425	0
2024-04-30	23	5414,475	0
2024-04-30	24	5379,913	0
