Data	Godzina	Zapotrzebowanie
2024-04-04	4	1347,513
2024-04-04	5	2020,11
2024-04-04	6	3345,369
2024-04-04	7	4557,18
2024-04-04	8	6740,749
2024-04-04	9	7549,633
2024-04-04	10	8426,291
2024-04-04	11	8402,617
2024-04-04	12	8542,253
2024-04-04	13	8899,266
2024-04-04	14	8407,485
2024-04-04	15	8667,286
2024-04-04	16	8729,024
2024-04-04	17	8415,412
2024-04-04	18	7726,8
2024-04-04	19	6904,966
2024-04-04	20	6718,029
2024-04-04	21	5220,045
2024-04-04	22	5038,537
2024-04-04	23	3121,44
2024-04-04	24	1832,69
2024-04-05	1	1548,146
2024-04-05	2	1327,311
2024-04-05	3	1241,416
2024-04-05	4	1243,961
2024-04-05	5	1864,87
2024-04-05	6	3088,287
2024-04-05	7	4206,973
2024-04-05	8	6222,74
2024-04-05	9	6969,464
2024-04-05	10	7778,753
2024-04-05	11	7756,898
2024-04-05	12	7885,804
2024-04-05	13	8215,381
2024-04-05	14	7761,392
2024-04-05	15	8001,229
2024-04-05	16	8058,222
2024-04-05	17	7775,779
2024-04-05	18	7139,507
2024-04-05	19	6380,138
2024-04-05	20	6207,41
2024-04-05	21	4823,283
2024-04-05	22	4655,571
2024-04-05	23	2884,188
2024-04-05	24	1693,393
2024-04-06	1	1482,169
2024-04-06	2	1270,746
2024-04-06	3	1188,511
2024-04-06	4	1190,947
2024-04-06	5	1785,396
2024-04-06	6	2956,675
2024-04-06	7	4027,686
2024-04-06	8	5957,549
2024-04-06	9	6672,45
2024-04-06	10	7447,251
2024-04-06	11	7426,327
2024-04-06	12	7549,739
2024-04-06	13	7865,27
2024-04-06	14	7430,629
2024-04-06	15	7660,245
2024-04-06	16	7714,809
2024-04-06	17	7444,403
2024-04-06	18	6835,246
2024-04-06	19	6108,239
2024-04-06	20	5942,872
2024-04-06	21	4617,732
2024-04-06	22	4457,167
2024-04-06	23	2761,274
2024-04-06	24	1621,226
2024-04-07	1	1461,361
2024-04-07	2	1252,907
2024-04-07	3	1171,826
2024-04-07	4	1174,228
2024-04-07	5	1760,331
2024-04-07	6	2915,167
2024-04-07	7	3971,143
2024-04-07	8	5873,913
2024-04-07	9	6578,778
2024-04-07	10	7342,701
2024-04-07	11	7322,07
2024-04-07	12	7443,75
2024-04-07	13	7754,852
2024-04-07	14	7326,313
2024-04-07	15	7552,704
2024-04-07	16	7606,503
2024-04-07	17	7339,893
2024-04-07	18	6739,288
2024-04-07	19	6022,487
2024-04-07	20	5859,442
2024-04-07	21	4552,905
2024-04-07	22	4394,594
2024-04-07	23	2722,509
2024-04-07	24	1598,466
2024-04-08	1	1548,144
2024-04-08	2	1327,31
2024-04-08	3	1241,415
2024-04-08	4	1243,959
2024-04-08	5	1864,868
2024-04-08	6	3088,284
2024-04-08	7	4206,969
2024-04-08	8	6555,735
2024-04-08	9	6969,458
2024-04-08	10	7778,746
2024-04-08	11	7756,891
2024-04-08	12	7885,797
2024-04-08	13	8215,373
2024-04-08	14	7761,385
2024-04-08	15	8001,221
2024-04-08	16	8058,215
2024-04-08	17	7775,772
2024-04-08	18	7139,5
2024-04-08	19	6380,132
2024-04-08	20	6207,404
2024-04-08	21	4823,279
2024-04-08	22	4655,567
2024-04-08	23	2884,185
2024-04-08	24	1693,391
2024-04-09	1	1692,266
2024-04-09	2	1450,874
2024-04-09	3	1356,982
2024-04-09	4	1359,763
2024-04-09	5	1674,745
2024-04-09	6	3314,957
2024-04-09	7	4515,751
2024-04-09	8	6679,469
2024-04-09	9	7481
2024-04-09	10	8349,689
2024-04-09	11	8326,229
2024-04-09	12	8464,596
2024-04-09	13	8818,363
2024-04-09	14	8331,053
2024-04-09	15	8588,493
2024-04-09	16	8649,669
2024-04-09	17	8346,496
2024-04-09	18	7663,524
2024-04-09	19	6848,42
2024-04-09	20	6663,013
2024-04-09	21	5177,297
2024-04-09	22	4997,275
2024-04-09	23	3095,878
2024-04-09	24	1817,682
2024-04-10	1	1660,113
2024-04-10	2	1423,307
2024-04-10	3	1331,199
2024-04-10	4	1333,928
2024-04-10	5	1999,743
2024-04-10	6	3311,642
2024-04-10	7	4511,235
2024-04-10	8	7029,874
2024-04-10	9	7473,519
2024-04-10	10	8341,339
2024-04-10	11	8317,903
2024-04-10	12	8456,132
2024-04-10	13	8809,545
2024-04-10	14	8322,722
2024-04-10	15	8579,904
2024-04-10	16	8641,02
2024-04-10	17	8338,149
2024-04-10	18	7655,86
2024-04-10	19	6841,571
2024-04-10	20	6656,35
2024-04-10	21	5172,119
2024-04-10	22	4992,277
2024-04-10	23	3092,782
2024-04-10	24	1815,864
2024-04-11	1	1521,771
2024-04-11	2	1304,699
2024-04-11	3	1220,267
2024-04-11	4	1222,769
2024-04-11	5	1833,1
2024-04-11	6	3035,675
2024-04-11	7	4135,303
2024-04-11	8	6116,73
2024-04-11	9	6850,733
2024-04-11	10	7646,235
2024-04-11	11	7624,752
2024-04-11	12	7751,462
2024-04-11	13	8075,424
2024-04-11	14	7629,17
2024-04-11	15	7864,92
2024-04-11	16	7920,943
2024-04-11	17	7643,311
2024-04-11	18	7211,031
2024-04-11	19	6444,055
2024-04-11	20	6269,596
2024-04-11	21	4871,604
2024-04-11	22	4702,211
2024-04-11	23	2913,082
2024-04-11	24	1710,357
2024-04-12	1	1548,019
2024-04-12	2	1327,203
2024-04-12	3	1241,314
2024-04-12	4	1243,858
2024-04-12	5	1864,717
2024-04-12	6	3088,033
2024-04-12	7	4206,627
2024-04-12	8	6096,528
2024-04-12	9	6828,107
2024-04-12	10	7620,981
2024-04-12	11	7599,569
2024-04-12	12	7725,861
2024-04-12	13	8048,753
2024-04-12	14	7603,973
2024-04-12	15	7838,944
2024-04-12	16	8057,561
2024-04-12	17	7775,141
2024-04-12	18	7138,921
2024-04-12	19	6379,615
2024-04-12	20	6206,9
2024-04-12	21	4822,887
2024-04-12	22	4655,189
2024-04-12	23	2883,951
2024-04-12	24	1693,254
2024-04-13	1	1686,421
2024-04-13	2	1474,67
2024-04-13	3	1379,238
2024-04-13	4	1218,73
2024-04-13	5	1827,046
2024-04-13	6	3025,649
2024-04-13	7	4121,645
2024-04-13	8	6913,588
2024-04-13	9	7743,214
2024-04-13	10	8642,35
2024-04-13	11	8618,068
2024-04-13	12	8761,285
2024-04-13	13	9127,452
2024-04-13	14	7212,015
2024-04-13	15	7434,875
2024-04-13	16	7487,834
2024-04-13	17	7225,383
2024-04-13	18	6634,149
2024-04-13	19	7088,461
2024-04-13	20	6896,556
2024-04-13	21	5358,764
2024-04-13	22	5172,432
2024-04-13	23	3204,39
2024-04-13	24	1881,393
2024-04-14	1	1707,511
2024-04-14	2	1463,945
2024-04-14	3	1369,207
2024-04-14	4	1372,014
2024-04-14	5	2056,839
2024-04-14	6	3406,194
2024-04-14	7	4640,037
2024-04-14	8	6863,308
2024-04-14	9	7686,899
2024-04-14	10	8579,497
2024-04-14	11	8555,392
2024-04-14	12	8697,567
2024-04-14	13	9061,07
2024-04-14	14	8560,349
2024-04-14	15	8824,873
2024-04-14	16	8887,734
2024-04-14	17	8576,216
2024-04-14	18	7874,446
2024-04-14	19	7036,908
2024-04-14	20	6846,399
2024-04-14	21	5319,791
2024-04-14	22	5134,814
2024-04-14	23	3181,086
2024-04-14	24	1867,71
2024-04-15	1	1563,641
2024-04-15	2	1340,597
2024-04-15	3	1253,842
2024-04-15	4	1256,412
2024-04-15	5	1883,535
2024-04-15	6	3119,198
2024-04-15	7	4249,081
2024-04-15	8	6285,024
2024-04-15	9	7039,222
2024-04-15	10	7856,612
2024-04-15	11	7834,538
2024-04-15	12	7964,734
2024-04-15	13	8297,609
2024-04-15	14	7839,077
2024-04-15	15	8081,314
2024-04-15	16	8138,878
2024-04-15	17	7853,608
2024-04-15	18	7210,967
2024-04-15	19	6443,998
2024-04-15	20	6269,54
2024-04-15	21	4871,56
2024-04-15	22	4702,169
2024-04-15	23	2913,056
2024-04-15	24	1710,342
2024-04-16	1	1497,004
2024-04-16	2	1283,465
2024-04-16	3	1200,407
2024-04-16	4	1202,868
2024-04-16	5	1803,266
2024-04-16	6	2986,269
2024-04-16	7	4068
2024-04-16	8	6017,179
2024-04-16	9	6739,236
2024-04-16	10	7521,791
2024-04-16	11	7500,657
2024-04-16	12	7625,305
2024-04-16	13	7943,995
2024-04-16	14	7505,003
2024-04-16	15	7736,917
2024-04-16	16	7792,027
2024-04-16	17	7518,915
2024-04-16	18	6903,661
2024-04-16	19	6169,377
2024-04-16	20	6002,355
2024-04-16	21	4663,951
2024-04-16	22	4501,779
2024-04-16	23	2788,912
2024-04-16	24	1637,453
2024-04-17	1	1461,361
2024-04-17	2	1252,907
2024-04-17	3	1171,826
2024-04-17	4	1174,228
2024-04-17	5	1760,331
2024-04-17	6	2915,167
2024-04-17	7	3971,143
2024-04-17	8	5873,913
2024-04-17	9	6578,778
2024-04-17	10	7342,701
2024-04-17	11	7322,07
2024-04-17	12	7443,75
2024-04-17	13	7754,852
2024-04-17	14	7326,313
2024-04-17	15	7552,704
2024-04-17	16	7606,503
2024-04-17	17	7339,893
2024-04-17	18	6739,288
2024-04-17	19	6022,487
2024-04-17	20	5859,442
2024-04-17	21	4552,905
2024-04-17	22	4394,594
2024-04-17	23	2722,509
2024-04-17	24	1598,466
2024-04-18	1	1548,144
2024-04-18	2	1327,31
2024-04-18	3	1241,415
2024-04-18	4	1243,959
2024-04-18	5	1864,868
2024-04-18	6	3088,284
2024-04-18	7	4206,969
2024-04-18	8	6555,735
2024-04-18	9	6969,458
2024-04-18	10	7778,746
2024-04-18	11	7756,891
2024-04-18	12	7885,797
2024-04-18	13	8215,373
2024-04-18	14	7761,385
2024-04-18	15	8001,221
2024-04-18	16	8058,215
2024-04-18	17	7775,772
2024-04-18	18	7139,5
2024-04-18	19	6380,132
2024-04-18	20	6207,404
2024-04-18	21	4823,279
2024-04-18	22	4655,567
2024-04-18	23	2884,185
2024-04-18	24	1693,391
2024-04-19	1	1692,266
2024-04-19	2	1450,874
2024-04-19	3	1356,982
2024-04-19	4	1359,763
2024-04-19	5	1705,474
2024-04-19	6	3375,782
2024-04-19	7	4598,608
2024-04-19	8	6802,028
2024-04-19	9	7618,266
2024-04-19	10	8502,894
2024-04-19	11	8479,004
2024-04-19	12	8619,91
2024-04-19	13	8980,168
2024-04-19	14	8483,917
2024-04-19	15	8746,08
2024-04-19	16	8808,379
2024-04-19	17	8499,643
2024-04-19	18	7804,139
2024-04-19	19	7099,738
2024-04-19	20	6907,528
2024-04-19	21	5367,289
2024-04-19	22	5180,661
2024-04-19	23	3209,488
2024-04-19	24	1884,386
2024-04-20	1	1721,034
2024-04-20	2	1475,539
2024-04-20	3	1380,051
2024-04-20	4	1382,879
2024-04-20	5	2073,128
2024-04-20	6	3433,17
2024-04-20	7	4676,785
2024-04-20	8	7287,851
2024-04-20	9	7747,777
2024-04-20	10	8647,443
2024-04-20	11	8623,147
2024-04-20	12	8766,449
2024-04-20	13	9132,831
2024-04-20	14	8628,143
2024-04-20	15	8894,763
2024-04-20	16	8958,121
2024-04-20	17	8644,137
2024-04-20	18	7936,809
2024-04-20	19	7092,638
2024-04-20	20	6900,62
2024-04-20	21	5361,922
2024-04-20	22	5175,48
2024-04-20	23	3206,279
2024-04-20	24	1882,502
2024-04-21	1	1577,616
2024-04-21	2	1352,578
2024-04-21	3	1265,048
2024-04-21	4	1267,641
2024-04-21	5	1900,37
2024-04-21	6	3147,076
2024-04-21	7	4287,057
2024-04-21	8	6341,197
2024-04-21	9	7102,136
2024-04-21	10	7926,831
2024-04-21	11	7904,56
2024-04-21	12	8035,919
2024-04-21	13	8371,77
2024-04-21	14	7909,139
2024-04-21	15	8153,541
2024-04-21	16	8211,619
2024-04-21	17	7923,8
2024-04-21	18	7275,416
2024-04-21	19	6501,591
2024-04-21	20	6325,575
2024-04-21	21	4915,1
2024-04-21	22	4744,195
2024-04-21	23	2939,092
2024-04-21	24	1725,628
2024-04-22	1	1561,84
2024-04-22	2	1339,053
2024-04-22	3	1252,397
2024-04-22	4	1254,964
2024-04-22	5	1881,366
2024-04-22	6	3115,605
2024-04-22	7	4244,186
2024-04-22	8	6150,961
2024-04-22	9	6889,072
2024-04-22	10	7689,026
2024-04-22	11	7667,423
2024-04-22	12	7794,842
2024-04-22	13	8120,617
2024-04-22	14	7671,865
2024-04-22	15	7908,935
2024-04-22	16	8129,503
2024-04-22	17	7844,562
2024-04-22	18	7202,661
2024-04-22	19	6436,575
2024-04-22	20	6262,319
2024-04-22	21	4865,949
2024-04-22	22	4696,753
2024-04-22	23	2909,701
2024-04-22	24	1708,372
2024-04-23	1	1701,478
2024-04-23	2	1487,836
2024-04-23	3	1391,553
2024-04-23	4	1229,612
2024-04-23	5	1843,359
2024-04-23	6	3052,663
2024-04-23	7	4158,445
2024-04-23	8	6975,317
2024-04-23	9	7812,349
2024-04-23	10	8719,514
2024-04-23	11	8695,015
2024-04-23	12	8839,511
2024-04-23	13	9208,947
2024-04-23	14	7276,408
2024-04-23	15	7501,258
2024-04-23	16	7554,69
2024-04-23	17	7289,896
2024-04-23	18	6693,382
2024-04-23	19	7151,75
2024-04-23	20	6958,132
2024-04-23	21	5406,61
2024-04-23	22	5218,614
2024-04-23	23	3233,001
2024-04-23	24	1898,191
2024-04-24	1	1722,757
2024-04-24	2	1477,016
2024-04-24	3	1381,432
2024-04-24	4	1384,264
2024-04-24	5	2075,204
2024-04-24	6	3436,607
2024-04-24	7	4681,466
2024-04-24	8	6924,587
2024-04-24	9	7755,532
2024-04-24	10	8656,099
2024-04-24	11	8631,779
2024-04-24	12	8775,224
2024-04-24	13	9141,973
2024-04-24	14	8636,78
2024-04-24	15	8903,667
2024-04-24	16	8967,088
2024-04-24	17	8652,789
2024-04-24	18	7944,754
2024-04-24	19	7099,738
2024-04-24	20	6907,528
2024-04-24	21	5367,289
2024-04-24	22	5180,661
2024-04-24	23	3209,488
2024-04-24	24	1884,386
2024-04-25	1	1591,815
2024-04-25	2	1364,752
2024-04-25	3	1276,433
2024-04-25	4	1279,05
2024-04-25	5	1917,473
2024-04-25	6	3175,399
2024-04-25	7	4325,641
2024-04-25	8	6398,268
2024-04-25	9	7166,055
2024-04-25	10	7998,172
2024-04-25	11	7975,701
2024-04-25	12	8108,243
2024-04-25	13	8447,116
2024-04-25	14	7980,322
2024-04-25	15	8226,923
2024-04-25	16	8285,524
2024-04-25	17	7995,114
2024-04-25	18	7340,894
2024-04-25	19	6560,106
2024-04-25	20	6382,505
2024-04-25	21	4959,336
2024-04-25	22	4786,893
2024-04-25	23	2965,544
2024-04-25	24	1741,159
2024-04-26	1	1523,977
2024-04-26	2	1306,591
2024-04-26	3	1222,036
2024-04-26	4	1224,541
2024-04-26	5	1835,757
2024-04-26	6	3040,075
2024-04-26	7	4141,297
2024-04-26	8	6125,596
2024-04-26	9	6860,663
2024-04-26	10	7657,319
2024-04-26	11	7635,804
2024-04-26	12	7762,698
2024-04-26	13	8087,13
2024-04-26	14	7640,229
2024-04-26	15	7876,321
2024-04-26	16	7932,424
2024-04-26	17	7654,391
2024-04-26	18	7028,051
2024-04-26	19	6280,537
2024-04-26	20	6110,505
2024-04-26	21	4747,987
2024-04-26	22	4582,892
2024-04-26	23	2839,163
2024-04-26	24	1666,957
2024-04-27	1	1487,692
2024-04-27	2	1275,481
2024-04-27	3	1192,94
2024-04-27	4	1195,385
2024-04-27	5	1792,049
2024-04-27	6	2967,692
2024-04-27	7	4042,695
2024-04-27	8	5979,749
2024-04-27	9	6697,314
2024-04-27	10	7475,002
2024-04-27	11	7454
2024-04-27	12	7577,872
2024-04-27	13	7894,579
2024-04-27	14	7458,318
2024-04-27	15	7688,789
2024-04-27	16	7743,557
2024-04-27	17	7472,143
2024-04-27	18	6860,717
2024-04-27	19	6131,001
2024-04-27	20	5965,017
2024-04-27	21	4634,939
2024-04-27	22	4473,776
2024-04-27	23	2771,564
2024-04-27	24	1627,267
2024-04-28	1	1576,039
2024-04-28	2	1351,226
2024-04-28	3	1263,783
2024-04-28	4	1266,373
2024-04-28	5	1898,469
2024-04-28	6	3143,929
2024-04-28	7	4282,77
2024-04-28	8	6673,856
2024-04-28	9	7095,034
2024-04-28	10	7918,904
2024-04-28	11	7896,655
2024-04-28	12	8027,883
2024-04-28	13	8363,398
2024-04-28	14	7901,23
2024-04-28	15	8145,387
2024-04-28	16	8203,408
2024-04-28	17	7915,876
2024-04-28	18	7268,14
2024-04-28	19	6495,09
2024-04-28	20	6319,249
2024-04-28	21	4910,185
2024-04-28	22	4739,451
2024-04-28	23	2936,153
2024-04-28	24	1723,903
2024-04-29	1	1722,757
2024-04-29	2	1477,016
2024-04-29	3	1381,432
2024-04-29	4	1384,264
2024-04-29	5	1736,204
2024-04-29	6	3436,607
2024-04-29	7	4681,466
2024-04-29	8	6924,587
2024-04-29	9	7755,532
2024-04-29	10	8656,099
2024-04-29	11	8631,779
2024-04-29	12	8775,224
2024-04-29	13	9141,973
2024-04-29	14	8636,78
2024-04-29	15	8903,667
2024-04-29	16	8967,088
2024-04-29	17	8652,789
2024-04-29	18	7944,754
2024-04-29	19	7099,738
2024-04-29	20	6907,528
2024-04-29	21	5367,289
2024-04-29	22	5180,661
2024-04-29	23	3209,488
2024-04-29	24	1884,386
2024-04-30	1	1721,034
2024-04-30	2	1475,539
2024-04-30	3	1380,051
2024-04-30	4	1382,879
2024-04-30	5	2073,128
2024-04-30	6	3433,17
2024-04-30	7	4676,785
2024-04-30	8	7287,851
2024-04-30	9	7747,777
2024-04-30	10	8647,443
2024-04-30	11	8623,147
2024-04-30	12	8766,449
2024-04-30	13	9132,831
2024-04-30	14	8628,143
2024-04-30	15	8894,763
2024-04-30	16	8958,121
2024-04-30	17	8644,137
2024-04-30	18	7936,809
2024-04-30	19	7092,638
2024-04-30	20	6900,62
2024-04-30	21	5361,922
2024-04-30	22	5175,48
2024-04-30	23	3206,279
2024-04-30	24	1882,502
